Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals,
Initiative Cards-Cultural Campaigns-Impressions-January,Initiative Cards,Cultural Campaigns,Impressions,January,"11,093,087","8,906,076","11,093,087","8,906,076.00",
Initiative Cards-Cultural Campaigns-Impressions-February,Initiative Cards,Cultural Campaigns,Impressions,February,"44,281,523","13,542,085","55,374,610","22,448,161.00",
Initiative Cards-Cultural Campaigns-Impressions-March,Initiative Cards,Cultural Campaigns,Impressions,March,"5,009,736","2,873,434","60,384,346","25,321,595.00",
Initiative Cards-Cultural Campaigns-Impressions-April,Initiative Cards,Cultural Campaigns,Impressions,April,"170,295,498","123,366,906","230,679,844","148,688,501.00",
Initiative Cards-Cultural Campaigns-Impressions-May,Initiative Cards,Cultural Campaigns,Impressions,May,"337,487,924","167,532,779","568,167,768","316,221,280.00",
Initiative Cards-Cultural Campaigns-Impressions-June,Initiative Cards,Cultural Campaigns,Impressions,June,0,"163,666,922","568,167,768","479,888,202.00",
Initiative Cards-Cultural Campaigns-Impressions-July,Initiative Cards,Cultural Campaigns,Impressions,July,0,"119,178,346","568,167,768","599,066,548.00",
Initiative Cards-Cultural Campaigns-Impressions-August,Initiative Cards,Cultural Campaigns,Impressions,August,0,"119,178,346","568,167,768","718,244,894.00",
Initiative Cards-Cultural Campaigns-Impressions-September,Initiative Cards,Cultural Campaigns,Impressions,September,0,"254,303,058","568,167,768","972,547,952.00",
Initiative Cards-Cultural Campaigns-Impressions-October,Initiative Cards,Cultural Campaigns,Impressions,October,0,"302,675,258","568,167,768","1,275,223,210.00",
Initiative Cards-Cultural Campaigns-Impressions-November,Initiative Cards,Cultural Campaigns,Impressions,November,0,"302,675,258","568,167,768","1,577,898,468.00",
Initiative Cards-Cultural Campaigns-Impressions-December,Initiative Cards,Cultural Campaigns,Impressions,December,0,"302,675,258","568,167,768","1,880,573,726.00",
Initiative Cards-Cultural Campaigns-Engagement-January,Initiative Cards,Cultural Campaigns,Engagement,January,"2,315,327","1,907,929","2,315,327","1,907,929.00",
Initiative Cards-Cultural Campaigns-Engagement-February,Initiative Cards,Cultural Campaigns,Engagement,February,"2,728,808","2,276,389","5,044,135","4,184,318.00",
Initiative Cards-Cultural Campaigns-Engagement-March,Initiative Cards,Cultural Campaigns,Engagement,March,"789,408","354,567","5,833,543","4,538,885.00",
Initiative Cards-Cultural Campaigns-Engagement-April,Initiative Cards,Cultural Campaigns,Engagement,April,"35,547,256","17,434,890","41,380,799","21,973,775.00",
Initiative Cards-Cultural Campaigns-Engagement-May,Initiative Cards,Cultural Campaigns,Engagement,May,"54,045,722","28,303,597","95,426,521","50,277,372.00",
Initiative Cards-Cultural Campaigns-Engagement-June,Initiative Cards,Cultural Campaigns,Engagement,June,0,"27,376,494","95,426,521","77,653,866.00",
Initiative Cards-Cultural Campaigns-Engagement-July,Initiative Cards,Cultural Campaigns,Engagement,July,0,"20,388,192","95,426,521","98,042,058.00",
Initiative Cards-Cultural Campaigns-Engagement-August,Initiative Cards,Cultural Campaigns,Engagement,August,0,"20,388,192","95,426,521","118,430,250.00",
Initiative Cards-Cultural Campaigns-Engagement-September,Initiative Cards,Cultural Campaigns,Engagement,September,0,"45,955,677","95,426,521","164,385,927.00",
Initiative Cards-Cultural Campaigns-Engagement-October,Initiative Cards,Cultural Campaigns,Engagement,October,0,"52,385,843","95,426,521","216,771,770.00",
Initiative Cards-Cultural Campaigns-Engagement-November,Initiative Cards,Cultural Campaigns,Engagement,November,0,"52,385,843","95,426,521","269,157,613.00",
Initiative Cards-Cultural Campaigns-Engagement-December,Initiative Cards,Cultural Campaigns,Engagement,December,0,"52,385,843","95,426,521","321,543,456.00",
